Año,Mes, Siniestro ocurrido 
2019,12," 1,476,202.45 "
2019,11," 186,230.60 "
2018,8," 197,464.94 "
2018,6," 1,006,141.44 "
2019,8," 82,537.45 "
2019,7," 287,884.32 "
2018,10," 399,841.78 "
2018,10," 905,613.20 "
2018,11," 94,049.56 "
2019,3," 520,558.33 "
2016,1," 682,002.13 "
2019,12," 286,179.25 "
2018,12," 417,613.46 "
2020,3," 655,885.22 "
2016,9," 118,093.17 "
2018,12," 253,039.83 "
2018,7," 119,298.46 "
2016,5," 270,982.39 "
2018,1," 826,924.38 "
2018,12," 1,486,542.44 "
2018,9," 115,010.24 "
2018,10," 287,943.16 "
2018,8," 1,389,048.29 "
2019,2," 168,228.07 "
2017,10," 92,317.96 "
2017,12," 1,324,422.42 "
2017,6," 120,251.28 "
2018,12," 396,696.47 "
2019,5," 1,581,939.02 "
2020,1," 370,006.73 "
2019,4," 136,152.05 "
2016,4," 81,991.35 "
2019,11," 166,181.11 "
2019,5," 261,781.37 "
2016,9," 129,122.18 "
2018,4," 391,467.43 "
2019,12," 250,208.77 "
2019,9," 386,876.53 "
2017,11," 1,851,084.62 "
2019,4," 95,723.98 "
2020,5," 3,134,464.98 "
2017,12," 106,490.52 "
2019,8," 647,840.48 "
2016,11," 67,205.57 "
2017,12," 1,843,123.80 "
2018,1," 878,217.77 "
2016,8," 273,196.76 "
2016,7," 189,713.56 "
2016,5," 163,180.35 "
2016,7," 1,502,600.00 "
2018,8," 1,434,798.25 "
2017,11," 506,155.22 "
2019,3," 260,827.05 "
2018,7," 716,964.91 "
2019,8," 133,034.35 "
2020,6," 1,903,384.06 "
2016,2," 1,934,479.46 "
2018,12," 2,751,725.24 "
2019,1," 121,336.68 "
2016,7," 309,503.19 "
2018,4," 295,187.69 "
2016,1," 129,405.49 "
2016,9," 1,679,520.83 "
2020,4," 286,529.60 "
2016,5," 104,644.17 "
2016,12," 121,736.28 "
2016,5," 281,376.22 "
2017,11," 110,595.33 "
2018,3," 1,033,743.71 "
2020,1," 84,207.93 "
2020,9," 280,028.18 "
2018,5," 138,353.58 "
2019,5," 305,862.10 "
2019,7," 135,283.26 "
2019,5," 63,476.31 "
2019,5," 228,697.93 "
2019,11," 3,264,982.28 "
2018,10," 13,423.57 "
2017,5," 134,783.70 "
2018,1," 106,936.25 "
2018,5," 1,324,798.79 "
2017,11," 137,730.12 "
2018,4," 85,394.16 "
2016,12," 864,146.62 "
2019,6," 626,193.31 "
2016,10," 426,307.38 "
2016,7," 285,191.81 "
2019,1," 30,525.68 "
2020,7," 412,818.72 "
2020,9," 358,248.88 "
2019,5," 269,347.78 "
2020,4," 68,236.33 "
2017,3," 90,408.86 "
2016,11," 1,149,928.35 "
2019,8," 131,970.70 "
2017,4," 95,230.57 "
2018,10," 200,825.76 "
2018,10," 844,774.57 "
2020,9," 149,032.72 "
2018,6," 129,214.64 "
2019,1," 169,092.90 "
2019,4," 224,981.55 "
2019,11," 3,363,321.83 "
2019,7," 137,459.75 "
